age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,computer_network_score,operating_system_score,daa_score,overall_score,final_grade
18,male,public,diploma,2.8,74.9,yes,15-30 min,no,mixed,59.2,43.6,40.8,54.1,e
14,other,public,graduate,7.3,72.3,no,<15 min,yes,group study,70.0,100.0,84.3,92.4,b
17,male,public,phd,2.7,94.9,yes,30-60 min,no,online videos,66.1,71.7,57.4,68.9,d
17,other,private,phd,5.2,80.9,yes,15-30 min,no,online videos,61.0,63.3,68.1,66.9,d
17,female,private,no formal,1.9,89.8,yes,15-30 min,no,mixed,73.4,61.7,62.8,56.4,d
17,female,public,phd,3.3,57.7,yes,15-30 min,no,group study,61.8,37.2,67.6,48.5,e
19,male,public,graduate,3.1,93.8,yes,>60 min,no,online videos,54.2,57.4,66.3,63.8,d
17,other,public,high school,6.1,98.5,yes,30-60 min,no,coaching,78.1,77.3,78.3,81.1,c
17,female,private,phd,2.6,97.8,yes,<15 min,yes,coaching,45.2,58.5,59.3,64.9,d
17,female,public,diploma,3.0,99.1,yes,<15 min,yes,group study,57.1,67.4,68.2,66.9,d
16,female,public,diploma,0.6,84.9,yes,>60 min,yes,group study,32.5,41.2,65.0,43.2,e
19,other,public,phd,2.9,83.6,yes,>60 min,no,group study,67.6,70.1,55.7,64.3,d
16,female,public,graduate,2.5,53.4,yes,>60 min,no,notes,39.4,36.8,49.9,33.4,f
18,female,private,no formal,4.6,64.1,yes,<15 min,yes,online videos,52.1,73.5,69.5,62.9,d
17,other,private,no formal,3.5,89.4,yes,30-60 min,yes,textbook,75.6,46.1,55.2,62.6,d
18,other,private,post graduate,7.9,68.1,no,<15 min,yes,mixed,100.0,100.0,96.3,96.3,a
18,other,private,diploma,4.6,81.0,yes,30-60 min,no,online videos,54.8,55.9,43.9,61.5,d
18,male,private,no formal,1.0,79.3,yes,15-30 min,no,group study,39.0,38.4,51.0,46.5,e
17,other,private,no formal,6.6,79.0,yes,<15 min,no,notes,100.0,84.8,81.3,93.0,b
17,male,public,phd,0.9,68.5,no,15-30 min,yes,mixed,36.4,28.6,38.5,38.1,f
17,female,public,graduate,6.8,94.2,yes,<15 min,yes,notes,84.2,77.3,82.9,84.4,c
16,female,private,graduate,3.5,62.4,yes,>60 min,yes,notes,64.2,65.7,65.9,62.7,d
18,male,private,graduate,1.0,88.5,no,>60 min,no,textbook,46.5,56.3,37.0,41.9,e
19,male,private,diploma,7.8,51.3,yes,>60 min,yes,textbook,100.0,87.6,87.5,84.1,c
18,other,private,phd,4.2,91.9,yes,>60 min,yes,online videos,60.3,55.4,59.8,64.1,d
18,other,public,graduate,6.9,87.9,yes,>60 min,no,textbook,99.1,80.4,90.9,94.4,b
18,male,private,graduate,3.7,98.9,yes,<15 min,yes,notes,53.5,62.2,70.7,66.6,d
16,female,public,phd,4.0,56.0,yes,15-30 min,no,textbook,30.8,48.5,35.7,50.4,e
14,male,public,no formal,3.2,90.2,yes,15-30 min,yes,online videos,75.6,56.6,66.2,64.6,d
16,female,private,high school,3.3,65.5,yes,<15 min,no,mixed,43.3,46.1,40.6,48.5,e
18,male,public,post graduate,6.5,62.4,yes,<15 min,yes,notes,85.7,76.1,72.7,79.3,c
18,other,public,no formal,0.7,60.3,yes,30-60 min,no,mixed,36.5,45.1,16.5,31.4,f
17,female,private,high school,4.2,85.9,yes,<15 min,no,notes,80.5,56.7,57.2,73.0,c
18,female,private,no formal,2.5,97.1,yes,30-60 min,yes,notes,52.9,58.2,52.8,57.9,d
14,other,private,post graduate,4.7,82.6,no,30-60 min,no,coaching,82.4,74.2,75.1,76.5,c
17,female,public,phd,2.1,63.3,yes,<15 min,no,notes,57.4,44.5,42.9,40.6,e
18,male,public,high school,3.1,70.0,yes,>60 min,yes,notes,52.2,54.8,49.2,50.6,e
17,female,private,post graduate,4.5,62.1,yes,15-30 min,yes,textbook,62.6,64.7,55.6,51.9,e
18,other,public,post graduate,6.1,53.5,yes,15-30 min,no,online videos,67.1,70.1,65.8,70.9,c
16,female,public,phd,7.6,88.4,yes,<15 min,no,online videos,86.9,84.6,84.6,89.1,b
17,male,private,phd,2.3,55.2,yes,>60 min,yes,group study,58.0,48.2,59.7,44.9,e
17,male,private,diploma,4.1,82.5,yes,>60 min,yes,coaching,61.8,46.8,73.5,66.9,d
18,male,private,no formal,3.1,71.4,yes,>60 min,no,mixed,42.0,46.3,39.5,46.3,e
15,other,public,post graduate,5.0,53.6,yes,30-60 min,yes,coaching,54.0,61.8,55.5,59.0,d
15,male,private,graduate,3.2,65.1,no,30-60 min,no,notes,44.1,53.7,43.1,53.0,e
16,other,private,diploma,1.2,53.8,no,>60 min,yes,textbook,27.9,17.3,34.3,22.2,f
15,male,private,graduate,5.1,81.5,no,>60 min,no,online videos,73.2,77.1,74.0,74.4,c
16,female,public,graduate,0.8,83.4,yes,15-30 min,yes,online videos,52.4,50.7,35.2,48.8,e
16,other,private,high school,0.8,94.7,yes,<15 min,no,coaching,33.8,48.6,40.7,42.8,e
15,female,private,high school,7.1,64.3,yes,15-30 min,yes,online videos,86.6,97.0,78.3,92.3,b
16,male,private,diploma,7.0,58.8,yes,>60 min,no,mixed,89.6,85.2,78.6,83.0,c
17,male,public,diploma,4.7,73.7,yes,>60 min,yes,textbook,57.0,63.1,60.8,62.3,d
18,male,private,post graduate,0.6,90.7,yes,<15 min,yes,group study,44.5,33.2,32.6,37.7,f
15,other,private,no formal,3.1,78.3,yes,>60 min,no,mixed,49.0,54.9,51.5,50.1,e
19,male,public,high school,3.1,97.2,yes,30-60 min,yes,textbook,57.9,74.0,56.5,54.7,e
16,male,public,post graduate,5.9,54.4,yes,15-30 min,no,coaching,87.2,74.7,68.7,64.8,d
18,other,private,no formal,6.6,86.0,no,>60 min,yes,group study,87.4,74.6,84.4,79.0,c
14,female,public,post graduate,3.2,83.2,yes,<15 min,yes,group study,70.3,45.9,66.4,56.5,d
15,other,private,post graduate,3.7,62.2,yes,15-30 min,no,textbook,50.4,63.6,63.4,60.3,d
16,male,public,high school,2.2,60.4,yes,<15 min,no,group study,38.8,43.7,24.3,34.4,f
16,female,public,graduate,6.0,69.1,yes,15-30 min,no,notes,98.8,80.7,96.6,83.6,c
16,male,private,diploma,3.1,66.1,yes,>60 min,yes,online videos,57.9,50.2,72.7,52.1,e
14,female,public,high school,5.8,66.7,yes,15-30 min,yes,group study,79.9,77.2,71.3,81.3,c
16,male,private,no formal,5.8,86.1,yes,15-30 min,no,mixed,75.9,98.8,68.8,77.7,c
18,other,private,phd,1.7,54.5,no,<15 min,no,online videos,22.4,32.4,40.8,30.8,f
18,female,private,phd,7.1,87.4,yes,15-30 min,yes,online videos,94.0,100.0,100.0,97.3,a
15,male,private,phd,6.7,75.0,yes,<15 min,yes,notes,84.6,80.4,85.8,90.9,b
16,other,private,no formal,4.9,58.7,yes,30-60 min,no,textbook,63.8,67.8,55.6,70.8,c
17,male,public,phd,1.1,83.5,yes,>60 min,no,group study,57.2,72.6,33.5,51.3,e
17,other,private,graduate,1.8,68.7,yes,30-60 min,yes,coaching,34.3,37.8,31.3,38.4,f
18,female,private,graduate,1.2,56.6,no,>60 min,yes,notes,35.9,37.2,42.4,30.1,f
16,other,public,diploma,4.0,79.4,yes,15-30 min,yes,coaching,72.5,59.6,72.5,71.7,c
18,male,public,high school,2.5,66.0,yes,15-30 min,yes,mixed,77.2,56.3,51.3,56.1,d
19,other,public,high school,6.7,64.2,yes,30-60 min,no,mixed,75.5,57.4,92.0,77.5,c
15,female,public,high school,3.8,73.9,no,30-60 min,no,textbook,66.5,55.2,63.4,60.4,d
18,female,public,post graduate,3.9,76.0,yes,30-60 min,no,group study,54.5,60.7,56.1,61.0,d
15,female,public,phd,7.4,85.1,yes,30-60 min,no,textbook,95.7,100.0,86.1,99.1,a
16,male,private,phd,4.8,74.6,yes,<15 min,yes,coaching,71.5,70.5,62.7,72.2,c
17,male,public,phd,3.4,76.7,yes,15-30 min,yes,coaching,52.1,48.9,64.4,49.8,e
17,male,private,no formal,7.9,78.5,yes,<15 min,yes,notes,90.5,81.9,88.9,91.4,b
17,female,public,post graduate,4.0,96.4,yes,15-30 min,no,online videos,63.3,69.4,54.6,71.0,c
15,female,private,phd,4.8,55.1,yes,15-30 min,yes,textbook,73.4,72.4,60.9,65.1,d
14,female,private,graduate,3.4,83.2,no,>60 min,no,notes,74.5,43.4,72.4,69.6,d
19,other,private,graduate,5.5,51.9,yes,15-30 min,yes,textbook,67.8,66.1,57.1,57.6,d
19,male,private,diploma,6.3,63.0,yes,15-30 min,yes,group study,70.2,66.2,83.3,69.9,d
19,other,public,post graduate,5.2,89.5,yes,30-60 min,no,notes,81.2,65.8,76.7,67.6,d
17,other,private,post graduate,2.4,68.1,yes,>60 min,yes,coaching,37.0,34.1,28.1,38.5,f
19,male,public,graduate,7.6,51.3,yes,15-30 min,yes,textbook,62.6,70.9,70.6,77.3,c
16,other,private,no formal,4.3,75.7,no,>60 min,no,mixed,59.8,46.3,59.6,58.5,d
14,male,private,phd,6.7,71.9,no,>60 min,yes,mixed,66.6,79.8,92.9,88.8,b
15,male,private,graduate,0.6,96.3,yes,>60 min,yes,online videos,52.0,38.5,41.1,49.7,e
15,other,public,phd,4.4,97.1,yes,<15 min,yes,coaching,77.2,80.5,81.3,74.4,c
16,male,public,post graduate,7.5,63.9,yes,<15 min,yes,group study,58.3,93.6,73.9,78.9,c
19,male,private,graduate,5.7,91.0,yes,>60 min,no,textbook,60.0,75.3,84.9,79.5,c
15,male,public,post graduate,1.4,75.7,yes,15-30 min,no,mixed,23.3,27.7,33.0,33.5,f
17,male,private,high school,5.8,77.0,yes,15-30 min,no,group study,71.8,71.1,72.0,72.5,c
15,male,public,diploma,0.6,55.7,yes,<15 min,yes,online videos,24.0,25.5,38.9,37.0,f
17,other,public,no formal,3.3,91.8,yes,<15 min,no,notes,77.1,67.9,66.7,64.4,d
17,male,private,post graduate,2.3,80.3,yes,15-30 min,yes,notes,42.9,52.8,55.1,54.2,e
14,other,public,high school,2.4,97.8,yes,30-60 min,yes,coaching,72.0,41.8,62.7,63.4,d
16,male,public,no formal,0.8,89.1,yes,>60 min,no,group study,14.8,40.9,43.5,35.3,f
14,other,public,post graduate,5.1,73.3,yes,<15 min,yes,textbook,91.6,64.5,99.5,78.0,c
19,other,private,high school,6.1,92.9,yes,30-60 min,yes,coaching,100.0,92.9,100.0,95.4,a
18,female,private,high school,2.7,65.9,yes,>60 min,no,online videos,33.2,45.8,44.7,49.8,e
19,other,private,no formal,4.9,93.1,yes,15-30 min,yes,mixed,74.8,80.7,82.9,73.9,c
19,male,private,graduate,4.2,55.8,no,>60 min,no,mixed,69.4,58.7,69.4,63.9,d
15,other,private,diploma,7.9,66.8,yes,15-30 min,no,coaching,100.0,100.0,100.0,91.6,b
18,male,public,graduate,6.6,93.4,yes,30-60 min,no,textbook,83.9,100.0,100.0,99.0,a
14,female,public,diploma,7.6,51.2,yes,<15 min,no,mixed,98.7,80.9,84.0,81.7,c
19,other,private,post graduate,6.7,93.4,yes,>60 min,yes,coaching,84.1,100.0,64.2,86.5,b
18,other,public,diploma,5.4,52.0,yes,<15 min,no,notes,77.9,51.1,49.9,55.3,d
18,male,public,post graduate,1.0,82.9,yes,30-60 min,no,textbook,50.6,26.4,42.3,34.2,f
19,other,public,diploma,6.9,81.9,yes,<15 min,no,online videos,50.7,100.0,96.3,84.5,c
19,other,private,no formal,6.2,52.9,yes,<15 min,yes,group study,82.8,84.2,63.5,76.2,c
19,other,private,diploma,2.6,91.9,yes,15-30 min,yes,textbook,54.3,65.1,45.1,56.2,d
14,other,public,high school,2.5,54.3,yes,<15 min,yes,mixed,54.3,52.8,52.9,45.2,e
14,other,private,diploma,4.4,92.6,yes,15-30 min,yes,mixed,82.3,84.5,72.7,76.6,c
19,other,private,no formal,2.6,99.2,yes,15-30 min,no,coaching,54.1,53.4,53.9,51.0,e
15,other,private,post graduate,7.8,83.6,yes,15-30 min,yes,mixed,93.6,78.4,90.3,86.5,b
16,male,private,graduate,2.0,96.5,no,<15 min,yes,online videos,50.7,45.7,70.2,60.7,d
14,other,private,no formal,1.7,81.3,yes,<15 min,yes,online videos,32.6,46.3,65.2,51.1,e
17,male,public,phd,0.8,99.1,yes,30-60 min,no,textbook,55.9,52.0,40.2,49.5,e
18,female,private,diploma,4.6,89.8,yes,15-30 min,yes,mixed,70.8,78.9,60.7,67.8,d
19,female,private,high school,6.1,84.0,yes,30-60 min,yes,group study,89.2,72.8,87.9,77.2,c
17,male,public,no formal,4.9,99.4,yes,15-30 min,yes,textbook,75.1,51.7,68.5,69.3,d
17,male,public,high school,2.1,74.2,yes,15-30 min,no,mixed,37.2,55.7,45.3,41.8,e
17,male,public,no formal,7.4,74.2,yes,<15 min,yes,notes,100.0,100.0,86.5,98.5,a
16,female,private,diploma,3.3,92.6,yes,30-60 min,yes,notes,76.1,58.6,60.2,62.4,d
17,female,public,graduate,1.6,83.7,yes,<15 min,no,notes,40.6,42.0,47.3,38.7,f
19,female,private,diploma,1.9,57.2,yes,15-30 min,no,coaching,18.3,35.0,42.5,39.1,f
15,male,public,phd,3.8,65.4,yes,>60 min,yes,mixed,73.2,47.5,58.4,58.9,d
16,female,private,phd,4.6,79.2,yes,<15 min,no,textbook,54.1,63.2,45.7,64.6,d
17,male,public,high school,5.0,50.8,yes,<15 min,yes,mixed,47.0,37.1,38.7,52.9,e
17,other,public,graduate,1.0,75.5,yes,>60 min,yes,mixed,27.9,40.2,48.0,38.4,f
14,male,private,diploma,7.0,61.7,no,15-30 min,yes,textbook,88.8,90.3,91.4,86.9,b
15,male,public,high school,3.0,61.8,no,15-30 min,no,coaching,43.7,39.1,51.1,47.6,e
17,male,public,high school,2.4,94.8,yes,<15 min,yes,coaching,66.5,68.7,70.2,60.0,d
18,female,private,graduate,5.7,64.1,yes,15-30 min,yes,group study,73.6,50.4,68.9,64.7,d
18,other,public,no formal,5.1,94.9,yes,<15 min,yes,textbook,56.9,61.4,64.2,72.9,c
19,female,public,post graduate,7.9,76.7,yes,15-30 min,no,notes,63.2,92.7,88.0,85.2,b
18,female,public,phd,3.6,96.4,yes,>60 min,no,coaching,66.5,76.7,76.0,72.6,c
17,other,private,diploma,1.9,86.5,yes,30-60 min,no,notes,58.0,43.3,50.2,48.8,e
15,male,public,graduate,7.8,70.7,yes,>60 min,yes,group study,98.9,96.3,99.6,95.3,a
16,other,private,phd,4.1,51.8,yes,>60 min,no,notes,69.2,56.5,60.2,61.8,d
18,female,public,post graduate,5.5,94.6,no,15-30 min,yes,group study,60.5,67.1,69.5,72.9,c
16,male,private,diploma,0.8,85.4,yes,15-30 min,yes,notes,27.4,42.4,38.8,39.8,f
18,male,public,phd,3.0,56.7,yes,<15 min,yes,textbook,50.4,40.6,52.1,43.0,e
14,male,public,no formal,7.9,96.8,yes,30-60 min,no,notes,86.4,93.5,100.0,97.9,a
14,other,public,graduate,7.7,74.4,yes,30-60 min,no,group study,90.4,83.3,87.5,87.2,b
15,female,private,high school,7.9,51.5,yes,>60 min,no,online videos,69.4,100.0,93.0,85.4,b
15,female,private,high school,6.7,64.8,yes,<15 min,no,textbook,81.9,91.0,89.5,84.1,c
17,female,private,graduate,4.3,93.0,yes,30-60 min,yes,mixed,71.7,73.6,99.7,79.1,c
17,male,public,post graduate,4.8,71.0,no,30-60 min,yes,mixed,67.5,51.4,79.1,61.6,d
17,other,public,post graduate,1.1,90.4,yes,15-30 min,yes,textbook,35.8,51.4,53.4,52.4,e
15,female,public,post graduate,6.4,70.1,yes,30-60 min,yes,group study,89.5,63.2,76.5,80.4,c
17,other,public,high school,6.1,56.7,yes,15-30 min,yes,notes,65.0,77.1,43.6,64.0,d
14,male,public,diploma,5.8,59.7,yes,>60 min,yes,textbook,72.9,57.5,66.3,64.3,d
16,other,private,no formal,3.4,94.1,yes,15-30 min,no,coaching,65.7,72.5,76.2,73.5,c
14,other,public,graduate,2.5,59.1,no,15-30 min,yes,mixed,53.0,54.3,46.6,44.9,e
14,female,public,post graduate,6.6,96.8,yes,30-60 min,no,online videos,83.5,100.0,92.0,89.3,b
14,other,private,diploma,7.8,64.4,yes,15-30 min,yes,textbook,99.7,79.0,91.5,85.5,b
14,female,public,high school,3.7,98.6,yes,30-60 min,yes,coaching,59.1,82.1,75.0,75.4,c
16,other,public,high school,0.9,54.8,yes,15-30 min,yes,notes,18.5,54.7,24.5,34.6,f
17,other,private,graduate,7.3,77.4,no,<15 min,no,online videos,79.1,64.0,85.1,79.9,c
17,male,private,post graduate,5.7,51.8,no,30-60 min,yes,textbook,73.0,64.0,71.5,71.5,c
16,other,private,diploma,5.5,62.8,yes,15-30 min,no,textbook,66.8,68.0,60.1,65.0,d
15,other,private,high school,7.6,92.8,yes,>60 min,yes,textbook,95.5,80.9,100.0,89.6,b
14,male,public,diploma,5.5,59.4,yes,>60 min,yes,group study,57.0,65.5,73.0,71.1,c
18,other,private,high school,5.1,94.6,no,15-30 min,yes,group study,100.0,90.1,79.0,84.3,c
19,female,private,no formal,5.8,79.5,yes,<15 min,yes,mixed,85.4,100.0,91.4,86.4,b
15,other,public,diploma,4.1,86.3,yes,15-30 min,yes,textbook,81.4,86.4,96.4,73.9,c
15,male,private,phd,2.7,68.0,yes,15-30 min,yes,notes,44.0,35.4,49.1,43.3,e
15,male,public,graduate,2.4,99.2,yes,30-60 min,yes,coaching,65.2,53.8,51.1,55.6,d
15,female,private,no formal,5.9,91.3,no,15-30 min,yes,textbook,100.0,79.6,100.0,90.5,b
15,female,public,phd,2.3,95.6,yes,15-30 min,yes,coaching,46.9,73.4,62.8,57.0,d
16,female,private,high school,7.5,57.3,yes,15-30 min,no,group study,81.8,85.2,85.8,80.9,c
18,male,private,graduate,3.5,63.3,yes,<15 min,no,coaching,44.8,45.5,39.6,46.7,e
18,other,private,graduate,5.3,92.0,yes,<15 min,yes,group study,83.7,70.7,70.5,70.7,c
19,male,public,post graduate,0.8,83.5,yes,15-30 min,yes,textbook,52.4,43.9,54.2,45.5,e
16,male,public,post graduate,3.9,69.2,yes,30-60 min,yes,mixed,64.2,48.6,61.9,53.9,e
16,female,private,high school,3.5,73.2,yes,30-60 min,no,coaching,57.0,58.6,40.0,61.3,d
16,male,public,post graduate,6.2,71.9,yes,<15 min,no,coaching,85.5,72.3,74.8,77.9,c
14,female,public,graduate,0.9,77.9,yes,15-30 min,yes,notes,23.0,36.9,34.8,31.9,f
16,female,private,diploma,3.5,74.5,yes,30-60 min,yes,online videos,45.2,39.1,36.9,50.7,e
15,male,public,no formal,6.9,72.7,yes,>60 min,no,coaching,91.2,82.8,63.7,80.1,c
16,other,public,graduate,5.5,66.4,yes,30-60 min,yes,coaching,69.9,42.9,70.8,60.6,d
14,other,public,diploma,6.3,72.4,no,30-60 min,no,group study,96.2,92.4,85.9,85.9,b
18,other,private,diploma,6.2,58.9,yes,<15 min,no,mixed,59.0,57.1,64.4,67.7,d
19,female,public,post graduate,5.5,59.5,yes,15-30 min,no,notes,83.3,70.3,73.4,75.9,c
19,female,public,post graduate,3.4,84.4,yes,>60 min,no,online videos,49.0,55.9,64.7,58.9,d
14,other,private,high school,3.5,98.2,yes,>60 min,yes,online videos,68.8,63.9,73.3,68.2,d
14,other,public,high school,0.9,60.6,yes,>60 min,yes,group study,37.2,54.2,37.5,29.1,f
19,other,private,phd,2.0,95.6,yes,30-60 min,no,group study,51.5,39.5,51.8,47.9,e
19,male,private,graduate,4.7,81.3,yes,>60 min,yes,online videos,77.6,63.7,72.6,65.5,d
17,other,public,diploma,7.2,97.6,yes,15-30 min,yes,mixed,84.4,87.4,100.0,99.9,a
15,female,private,phd,5.1,69.8,yes,15-30 min,no,textbook,67.4,90.2,85.6,71.7,c
17,other,public,post graduate,3.4,84.5,no,15-30 min,yes,group study,49.0,60.3,64.9,62.1,d
17,other,private,phd,6.7,77.2,yes,<15 min,yes,textbook,74.5,65.8,78.6,78.4,c
19,male,private,diploma,3.9,98.9,yes,<15 min,no,mixed,65.0,80.5,79.0,65.2,d
17,male,public,no formal,2.4,53.0,yes,15-30 min,yes,group study,30.7,36.7,21.6,30.4,f
14,male,public,post graduate,1.1,52.9,yes,30-60 min,yes,mixed,47.6,38.6,32.5,38.9,f
18,female,public,post graduate,6.7,93.2,yes,30-60 min,no,textbook,100.0,90.8,97.6,90.9,b
18,other,private,graduate,5.1,52.7,yes,30-60 min,no,mixed,55.1,60.6,68.8,60.1,d
15,male,public,diploma,4.9,95.4,no,30-60 min,yes,online videos,75.8,82.1,64.2,71.3,c
14,male,public,no formal,5.9,54.7,yes,<15 min,no,online videos,89.8,85.7,78.0,73.1,c
14,female,private,high school,5.0,55.6,yes,>60 min,no,notes,69.9,28.4,52.1,53.8,e
19,female,private,phd,3.1,66.5,no,>60 min,yes,group study,47.5,40.9,44.1,47.1,e
16,male,private,high school,5.1,86.3,yes,<15 min,yes,group study,76.5,71.2,72.1,70.8,c
17,female,private,graduate,1.6,78.8,yes,30-60 min,yes,online videos,53.6,46.3,62.5,53.9,e
19,other,public,graduate,2.7,95.4,yes,<15 min,no,textbook,38.3,52.6,72.7,61.4,d
14,male,public,diploma,4.5,81.5,yes,<15 min,no,mixed,59.9,77.5,85.4,72.5,c
15,male,public,phd,1.0,79.8,yes,<15 min,yes,group study,40.7,61.1,49.6,45.7,e
18,male,private,post graduate,6.7,78.5,yes,15-30 min,no,group study,83.3,87.7,83.1,87.6,b
17,male,private,phd,0.8,70.3,yes,<15 min,yes,online videos,26.4,26.8,28.9,30.3,f
14,female,private,high school,3.3,82.0,yes,>60 min,no,notes,53.6,48.5,59.9,60.9,d
18,male,private,post graduate,3.9,98.7,yes,>60 min,yes,online videos,60.8,76.1,49.4,61.2,d
14,female,public,post graduate,5.6,98.6,yes,<15 min,no,coaching,79.7,85.9,71.7,82.1,c
18,male,private,phd,1.7,55.5,yes,>60 min,no,online videos,21.1,30.8,5.0,28.3,f
18,other,private,diploma,6.7,72.8,yes,>60 min,yes,online videos,67.1,75.8,68.9,73.5,c
18,female,private,high school,3.7,79.6,yes,>60 min,no,mixed,57.1,73.9,54.9,63.9,d
16,male,public,post graduate,2.4,85.8,yes,>60 min,yes,group study,68.4,53.6,59.5,57.1,d
15,male,public,post graduate,1.2,65.0,yes,<15 min,yes,mixed,45.1,46.3,35.8,39.8,f
19,female,public,high school,7.4,99.1,yes,30-60 min,yes,notes,90.9,92.1,100.0,95.2,a
17,female,public,high school,3.5,70.8,yes,>60 min,no,textbook,57.9,43.7,56.8,50.5,e
17,male,private,post graduate,3.4,64.3,yes,30-60 min,no,coaching,56.1,51.8,29.1,60.7,d
14,male,private,graduate,1.9,89.0,yes,<15 min,no,notes,58.1,50.2,50.1,60.4,d
17,female,private,phd,4.3,79.4,no,15-30 min,yes,group study,70.0,56.1,69.4,72.8,c
17,female,private,graduate,2.9,95.2,yes,30-60 min,no,textbook,82.0,86.6,65.7,70.6,c
15,male,public,phd,1.7,55.3,yes,<15 min,yes,notes,32.2,40.5,25.3,29.5,f
18,female,private,high school,6.1,52.7,yes,>60 min,yes,online videos,71.7,72.8,59.8,75.8,c
14,male,private,post graduate,7.2,97.2,no,<15 min,no,mixed,100.0,89.0,92.5,89.2,b
18,other,public,high school,3.1,72.3,yes,30-60 min,yes,online videos,46.5,49.3,44.1,48.3,e
19,other,public,post graduate,2.6,60.8,yes,30-60 min,yes,mixed,26.2,43.0,26.5,36.8,f
17,male,private,diploma,3.3,87.2,yes,15-30 min,yes,notes,61.7,78.4,57.5,68.5,d
14,male,private,graduate,7.4,99.9,no,>60 min,no,textbook,73.9,95.8,87.9,89.7,b
17,male,public,post graduate,4.9,99.9,no,<15 min,yes,mixed,64.0,60.3,93.6,71.1,c
17,other,public,no formal,1.7,98.2,yes,<15 min,no,textbook,45.4,46.5,45.3,49.9,e
17,other,private,high school,5.2,57.8,yes,<15 min,yes,online videos,62.3,69.3,81.3,73.6,c
15,male,private,graduate,3.5,92.5,yes,<15 min,yes,group study,62.0,34.4,79.9,69.3,d
17,female,private,diploma,0.6,56.2,no,<15 min,yes,notes,11.5,23.3,16.3,22.0,f
15,male,public,graduate,7.8,67.8,yes,<15 min,yes,online videos,95.3,60.5,87.5,86.0,b
17,other,public,diploma,1.4,58.9,no,30-60 min,yes,textbook,13.8,45.6,18.5,30.1,f
17,male,public,no formal,3.6,67.8,yes,30-60 min,no,textbook,46.9,44.8,36.1,59.5,d
17,male,private,phd,5.4,62.4,yes,30-60 min,no,mixed,78.0,76.7,78.0,77.5,c
18,other,private,post graduate,4.9,94.8,no,>60 min,yes,group study,57.1,86.2,73.1,73.3,c
19,other,private,graduate,0.5,99.4,yes,>60 min,no,textbook,37.7,26.7,29.1,36.4,f
18,female,public,no formal,5.1,58.7,yes,>60 min,no,coaching,56.6,70.9,80.1,68.3,d
18,other,private,high school,6.0,56.5,yes,>60 min,no,textbook,74.5,59.6,73.9,70.1,c
19,male,public,graduate,6.9,58.2,yes,<15 min,no,textbook,76.2,79.8,61.9,82.4,c
15,male,private,no formal,1.9,78.3,yes,>60 min,yes,textbook,48.9,46.3,47.8,53.6,e
15,female,public,diploma,0.8,94.1,no,30-60 min,yes,mixed,56.0,55.2,50.3,49.2,e
17,female,private,phd,7.6,87.3,yes,<15 min,yes,group study,96.6,99.2,100.0,96.3,a
16,female,private,phd,5.6,71.1,yes,15-30 min,no,notes,64.7,86.2,85.2,81.6,c
18,other,private,graduate,3.9,98.0,no,>60 min,no,mixed,66.4,66.2,68.6,65.7,d
14,other,public,high school,5.9,76.9,yes,>60 min,no,notes,79.1,74.8,89.4,81.7,c
14,male,private,no formal,1.7,89.2,yes,>60 min,yes,mixed,44.6,53.6,32.6,48.1,e
18,other,private,high school,7.7,75.0,no,30-60 min,yes,notes,85.0,92.7,87.8,89.8,b
18,male,private,high school,5.4,83.3,yes,30-60 min,no,coaching,69.5,65.8,70.0,78.5,c
15,female,public,graduate,7.1,68.8,yes,<15 min,no,mixed,79.3,85.3,93.1,77.2,c
15,female,public,post graduate,4.7,52.6,yes,30-60 min,yes,online videos,44.0,57.6,54.8,50.6,e
17,female,private,diploma,6.5,80.6,yes,15-30 min,no,textbook,99.2,91.0,85.8,81.4,c
16,male,public,post graduate,3.0,64.4,yes,15-30 min,yes,mixed,73.1,60.2,62.2,56.0,d
15,female,private,no formal,1.5,77.5,yes,30-60 min,no,coaching,43.7,35.3,42.7,44.4,e
17,male,private,diploma,3.2,82.6,yes,<15 min,no,coaching,75.2,67.2,57.6,67.0,d
18,other,public,graduate,7.2,72.6,yes,30-60 min,yes,textbook,81.6,70.6,84.0,84.2,c
18,male,public,no formal,5.7,57.9,yes,15-30 min,yes,online videos,61.4,72.1,70.3,65.8,d
18,female,private,phd,3.9,90.3,yes,15-30 min,yes,group study,70.9,83.4,91.2,70.8,c
17,male,private,phd,2.3,58.6,yes,15-30 min,yes,notes,38.4,68.4,61.0,47.8,e
19,male,public,post graduate,5.0,56.5,yes,15-30 min,no,coaching,47.8,52.4,47.7,56.5,d
15,female,private,post graduate,4.9,65.9,yes,>60 min,no,group study,80.7,42.7,67.0,60.7,d
14,other,public,high school,4.5,52.9,yes,15-30 min,yes,textbook,50.4,43.2,59.6,51.1,e
14,female,public,high school,6.0,67.7,yes,30-60 min,yes,coaching,76.4,63.4,59.1,71.2,c
19,other,private,high school,2.3,87.9,yes,15-30 min,yes,mixed,53.3,39.9,41.9,46.1,e
17,other,public,no formal,4.3,89.5,yes,30-60 min,yes,mixed,70.3,96.5,76.2,79.1,c
15,female,private,graduate,2.8,72.8,yes,<15 min,yes,online videos,46.9,63.0,48.1,60.9,d
19,other,public,phd,2.0,59.2,yes,>60 min,yes,notes,60.4,58.7,40.4,44.6,e
